min_conviction,min_move,n_trades,total_profit,accuracy,avg_profit,win_rate,sharpe
30,0.25,67,-69.89,34.3,-1.04,34.3,-2.18
30,0.5,46,-59.62,41.3,-1.3,41.3,-2.25
30,0.75,38,-59.7,44.7,-1.57,44.7,-2.49
30,1.0,27,-65.58,40.7,-2.43,40.7,-3.27
30,1.5,15,-63.21,40.0,-4.21,40.0,-4.32
30,2.0,8,-62.0,50.0,-7.75,50.0,-5.98
40,0.25,67,-69.89,34.3,-1.04,34.3,-2.18
40,0.5,46,-59.62,41.3,-1.3,41.3,-2.25
40,0.75,38,-59.7,44.7,-1.57,44.7,-2.49
40,1.0,27,-65.58,40.7,-2.43,40.7,-3.27
40,1.5,15,-63.21,40.0,-4.21,40.0,-4.32
40,2.0,8,-62.0,50.0,-7.75,50.0,-5.98
50,0.25,67,-69.89,34.3,-1.04,34.3,-2.18
50,0.5,46,-59.62,41.3,-1.3,41.3,-2.25
50,0.75,38,-59.7,44.7,-1.57,44.7,-2.49
50,1.0,27,-65.58,40.7,-2.43,40.7,-3.27
50,1.5,15,-63.21,40.0,-4.21,40.0,-4.32
50,2.0,8,-62.0,50.0,-7.75,50.0,-5.98
60,0.25,67,-69.89,34.3,-1.04,34.3,-2.18
60,0.5,46,-59.62,41.3,-1.3,41.3,-2.25
60,0.75,38,-59.7,44.7,-1.57,44.7,-2.49
60,1.0,27,-65.58,40.7,-2.43,40.7,-3.27
60,1.5,15,-63.21,40.0,-4.21,40.0,-4.32
60,2.0,8,-62.0,50.0,-7.75,50.0,-5.98
70,0.25,67,-69.89,34.3,-1.04,34.3,-2.18
70,0.5,46,-59.62,41.3,-1.3,41.3,-2.25
70,0.75,38,-59.7,44.7,-1.57,44.7,-2.49
70,1.0,27,-65.58,40.7,-2.43,40.7,-3.27
70,1.5,15,-63.21,40.0,-4.21,40.0,-4.32
70,2.0,8,-62.0,50.0,-7.75,50.0,-5.98
80,0.25,67,-69.89,34.3,-1.04,34.3,-2.18
80,0.5,46,-59.62,41.3,-1.3,41.3,-2.25
80,0.75,38,-59.7,44.7,-1.57,44.7,-2.49
80,1.0,27,-65.58,40.7,-2.43,40.7,-3.27
80,1.5,15,-63.21,40.0,-4.21,40.0,-4.32
80,2.0,8,-62.0,50.0,-7.75,50.0,-5.98
