method,layer,sharpe,return,win_rate,trades,da
Pairwise_Slopes_0.4,1,0.0,0.0,0.0,0,0.0
Pairwise_Slopes_0.2,1,0.0,0.0,0.0,0,0.0
Top10_Average,1,,,0.3161290322580645,310,0.3161290322580645
InvVariance,1,0.0,0.0,0.0,0,0.0
Horizon_Consensus,1,,,0.33534743202416917,331,0.33534743202416917
Magnitude_Weighted,1,-0.43760453441107217,-6.789999999999907,0.28688524590163933,244,0.28688524590163933
META_MajorityVote,2,,,0.3161290322580645,310,0.3161290322580645
META_SharpeWeighted,2,,,0.0,397,0.0
META_Agree3of4,2,0.0,0.0,0.0,0,0.0
META_Agree4of4,2,0.0,0.0,0.0,0,0.0
META_All6_MajVote,2,,,0.32947976878612717,346,0.32947976878612717
META_All6_Agree5,2,0.0,0.0,0.0,0,0.0
